,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
84,San Diego State,238.0,0,0,0,0,14,61.5,0,0,0,0,0,0,33,25,0,0,0,0,31,37.5,0,0,0,0,5,73
85,Pittsburgh,232.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
86,San Diego,231.0,17,50,0,0,72,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
87,Syracuse,221.5,0,0,0,0,0,0.0,3,83,1,100,0,0,0,0,0,0,0,0,0,0.0,56,13.5,0,0,0,0
88,Rice (Tex.),219.0,5,73,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,53,19.5,0,0,0,0,0,0
89,Massachusetts,218.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0
89,UC Irvine,218.0,9,64,40,33,20,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
90,Oregon State,217.5,0,0,0,0,46,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
92,Houston,212.5,17,50,0,0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,0,0,0,0,0,0
93,Yale,201.0,0,0,0,0,0,0.0,0,0,0,0,4,80,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
94,UC Santa Barbara,199.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
95,UC Davis,193.0,33,25,21,53,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,80
