,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,W. WP,W. WP,W. WP
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
91,Brown,Ivy League,FCS,212.5,0,0,0,0,0,0.0,0,0,9,25,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,77.5,110.0
92,Kansas State,Big 12,FBS,204.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,68.25,0,0,0,0,0,0.0,81.0,55.0,68.25
93,Iona,MAAC,DI,204.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,29.5,0,0,0,0,0,0.0,139.5,35.0,29.5
94,Yale,Ivy League,FCS,203.0,0,0,0,0,0,0.0,0,0,9,25,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,90.0,88.0
95,Kent State,MAC,FBS,201.5,0,0,33,39.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,41,0,0,0,0.0,25.0,96.0,80.5
96,Pittsburgh,ACC,FBS,200.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,74,5,0,0,0,0.0,25.0,120.0,55.0
97,Houston,American,FBS,198.5,33,25,49,23,26,47.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,39,33,0,0,0,0.0,45.0,0.0,153.5
98,Dayton,Atlantic 10,FCS,198.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,123.0,0.0
99,St. John's  (NY),Big East,DI,197.0,17,50,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,97.0,100.0
100,Hawaii,Big West,FBS,195.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,65.8,50.0,55.0,90.75
101,Boston University,Patriot,DI,195.0,0,0,65,5,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,50.0,115.0,30.0
102,Western Kentucky,Conference USA,FBS,194.5,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,74,5,0,0,0,0.0,70.0,69.5,55.0
103,Gonzaga,WCC,DI,192.5,0,0,57,15.5,0,0.0,0,0,0,0,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,137.0,55.5
104,Rutgers,Big Ten,FBS,187.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,95.0,92.0,0.0
105,Buffalo,MAC,FBS,185.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,19,51,0,0,0,0.0,25.0,84.25,76.0
106,UNLV,Mountain West,FBS,178.5,0,0,16,58.5,26,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,47.5,106.0
107,Southern Illinois,Missouri Valley,FCS,177.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,64.5,44,27,0,0,0,0.0,0.0,86.25,91.5
108,New Mexico State,WAC,FBS,177.5,0,0,25,47.5,67,5.0,0,0,0,0,0,0,33,25,33,25,33,25,0,0,0,0,0,0,0,0.0,0.0,50.0,127.5
109,Northern Arizona,Big Sky,FCS,174.5,0,0,65,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10.5,0,0,0,0.0,133.0,26.0,15.5
110,Florida Gulf Coast,Atlantic Sun,DI,173.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,50.0,98.0,25.0
110,Louisiana Lafayette,Sun Belt,FBS,173.0,9,64,0,0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0.0,45.0,0.0,128.0
112,Cornell,Ivy League,FCS,172.0,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,74,5,0,0,0,0.0,27.0,115.0,30.0
113,Wichita State,Missouri Valley,DI,170.5,0,0,61,11.5,31,40.0,0,0,0,0,0,0,0,0,33,25,0,0,68,5,0,0,0,0,0,0.0,0.0,89.0,81.5
114,San Diego,WCC,FCS,165.5,0,0,0,0,56,15.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,125.0,0.0,40.5
115,UTEP,Conference USA,FBS,163.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,51,0,0,0,0.0,72.0,40.0,51.0
116,Eastern Kentucky,OVC,FCS,154.5,0,0,57,15.5,73,5.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,39,33,0,0,0,0.0,76.0,0.0,78.5
