,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,Beach VB,Beach VB,Beach VB,Beach VB,Beach VB
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
258,Belmont,OVC,DI,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
258,Bethune-Cookman,MEAC,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,Bryant,Northeast,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,Cal State Northridge,Big West,DI,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
258,Dayton,Atlantic 10,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
258,Eastern Washington,Big Sky,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
258,Hartford,America East,DI,25.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,Howard,MEAC,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
258,La Salle,Atlantic 10,DI,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
258,Maine,America East,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
258,Montana,Big Sky,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
258,Morehead State,OVC,FCS,25.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,Morgan State,MEAC,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,North Dakota,Big Sky,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
258,Oral Roberts,Summit,DI,25.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,Presbyterian College,Big South,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
258,Robert Morris,Northeast,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,9,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,Saint Louis,Atlantic 10,DI,25.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,St. Bonaventure,Atlantic 10,DI,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
258,St. Francis (NY),Northeast,DI,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
258,Stephen F. Austin,Southland,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
258,Tulane American,,FBS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,UAB,Conference USA,FBS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
258,UC Santa Barbara Big West,,DI,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0
258,Western Illinois,Summit,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
258,Wisconsin Green Bay,Horizon League,DI,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
286,Norfolk State,MEAC,FCS,23.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,46,23.5,0,0,0,0,0,0,0,0,0.0,0.0,23.5
287,Houston Baptist,Southland,FCS,19.0,0,0.0,53,19.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.0
288,George Mason,Atlantic 10,DI,15.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.5,0.0
289,Binghamton,America East,DI,11.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,0.0
290,St. Mary's College of CaliforniaWCC,,DI,8.6,0,0.0,0,0.0,62,8.6,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.6
291,Bradley,Missouri Valley,DI,5.0,0,0.0,0,0.0,67,5.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
291,North Carolina Central,MEAC,FCS,5.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,0.0
