,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,Beach VB,Beach VB,Beach VB,Beach VB,Beach VB
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
39,Purdue,Big Ten,FBS,585.5,33,37.5,41,31.5,50,22.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,8,70.5,55,16,0,0,0,0,0,0,128.5,279.5,177.5
40,Princeton,Ivy League,FCS,579.5,0,0.0,58,14.5,0,0.0,9,53,0,0,9,63.0,0,0.0,33,25,0,0,56,15,0,0,0,0,0,0,0,0,242.0,167.0,170.5
41,Texas Tech,Big 12,FBS,577.0,5,78.0,50,23.0,5,72.75,0,0,0,0,0,0.0,0,0.0,5,73,33,25,45,23.5,5,74.25,0,0,0,0,0,0,25.0,182.5,369.5
42,Mississippi State,SEC,FBS,568.5,3,83.0,0,0.0,43,28.0,0,0,0,0,0,0.0,17,50.0,17,50,5,73,0,0,10,67.5,0,0,0,0,0,0,54.0,163.0,351.5
43,Baylor,Big 12,FBS,555.75,33,37.5,9,69.0,30,44.0,0,0,0,0,0,0.0,17,50.0,17,50,17,50,63,7.75,55,16,0,0,0,0,0,0,151.0,80.5,324.25
44,Nebraska,Big Ten,FBS,553.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,40,33,0,0,0,0,0,0,100.0,420.0,33.0
45,BYU,WCC,FBS,552.5,0,0.0,33,39.5,24,49.0,0,0,0,0,0,0.0,33,37.5,0,0,0,0,67,5,40,33,3,55,0,0,0,0,215.0,118.5,219.0
46,Syracuse,ACC,FBS,539.75,0,0.0,0,0.0,0,0.0,17,25,9,25,16,42.0,0,0.0,33,25,0,0,37,36.5,24,50,0,0,0,0,0,0,164.0,172.25,203.5
47,Denver,Summit,DI,529.25,0,0.0,45,27.0,0,0.0,9,53,5,60,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,50.0,314.25,165.0
48,Wake Forest,ACC,FBS,496.5,0,0.0,16,57.0,43,28.0,0,0,0,0,0,0.0,0,0.0,17,50,1,100,0,0,66,5,0,0,0,0,0,0,221.0,35.5,240.0
49,Indiana,Big Ten,FBS,491.0,17,50.0,0,0.0,0,0.0,0,0,0,0,13,51.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0,250.0,101.0
50,Michigan State,Big Ten,FBS,475.75,0,0.0,30,43.0,37,34.5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,63,7.75,46,27,0,0,0,0,0,0,313.5,50.0,112.25
51,Arizona,Pac 12,FBS,472.5,0,0.0,1,100.0,31,40.5,0,0,0,0,0,0.0,9,64.0,0,0,0,0,0,0,43,30,0,0,0,0,0,0,75.0,163.0,234.5
52,Clemson,ACC,FBS,471.75,17,50.0,25,49.0,13,62.25,0,0,0,0,0,0.0,0,0.0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,180.0,80.5,211.25
53,Maryland,Big Ten,FBS,467.5,0,0.0,0,0.0,0,0.0,3,83,3,83,0,0.0,0,0.0,0,0,0,0,0,0,35,37,0,0,0,0,0,0,115.0,149.5,203.0
54,Iowa,Big Ten,FBS,457.5,0,0.0,0,0.0,0,0.0,0,0,0,0,11,57.0,0,0.0,0,0,0,0,13,63,31,42,0,0,0,0,0,0,45.0,250.5,162.0
55,Vanderbilt,SEC,FBS,450.0,9,64.0,45,27.0,9,69.0,0,0,0,0,0,0.0,0,0.0,2,90,17,50,0,0,0,0,0,0,0,0,0,0,50.0,100.0,300.0
56,Iowa State,Big 12,FBS,436.0,0,0.0,37,35.5,19,54.5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,62,9.5,0,0,0,0,0,0,221.0,115.5,99.5
57,Kansas,Big 12,FBS,412.5,0,0.0,0,0.0,23,51.0,0,0,0,0,0,0.0,0,0.0,17,50,0,0,22,51.5,34,40,0,0,0,0,0,0,25.0,195.0,192.5
58,TCU,Big 12,FBS,394.0,0,0.0,0,0.0,43,28.0,0,0,0,0,0,0.0,0,0.0,0,0,9,64,0,0,31,42,0,0,0,0,0,0,94.0,166.0,134.0
59,Boise State,Mountain West,FBS,387.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,25,48.5,0,0,0,0,0,0,0,0,180.5,133.5,73.5
60,Oregon State,Pac 12,FBS,383.0,1,100.0,30,43.0,0,0.0,0,0,0,0,0,0.0,17,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,165.0,193.0
61,Utah,Pac 12,FBS,382.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,46,23.5,0,0,0,0,0,0,0,0,137.0,197.0,48.5
62,Miami (FL),ACC,FBS,382.0,0,0.0,58,14.5,0,0.0,0,0,0,0,0,0.0,0,0.0,9,64,17,50,0,0,0,0,0,0,0,0,0,0,113.0,140.5,128.5
63,West Virginia,Big 12,FBS,380.75,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,63,7.75,0,0,0,0,0,0,0,0,89.0,284.0,7.75
64,New Mexico,Mountain West,FBS,373.25,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,17,56.5,43,30,0,0,0,0,0,0,100.0,186.75,86.5
65,Harvard,Ivy League,FCS,365.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,17,50,28,43.5,0,0,5,25,0,0,0,0,25.0,196.5,143.5
66,Villanova,Big East,FCS,363.0,0,0.0,0,0.0,0,0.0,0,0,9,25,0,0.0,0,0.0,0,0,0,0,40,33,0,0,0,0,0,0,0,0,98.0,207.0,58.0
67,Houston,American,FBS,351.0,17,50.0,41,31.5,0,0.0,0,0,0,0,0,0.0,33,37.5,0,0,0,0,0,0,3,85,0,0,0,0,0,0,25.0,122.0,204.0
68,Air Force,Mountain West,FBS,345.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,39,35,0,0,0,0,0,0,0,0,85.0,225.5,35.0
69,Columbia,Ivy League,FCS,339.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,129.5,120.5,89.0
70,Northern Arizona,Big Sky,FCS,327.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,20,53.5,20,52.5,0,0,0,0,0,0,125.0,96.0,106.0
71,New Hampshire,America East,FCS,325.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,56,15,0,0,0,0,0,0,0,0,134.0,176.0,15.0
72,Kansas State,Big 12,FBS,315.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,17,50,0,0,17,56.5,27,45.5,0,0,0,0,0,0,45.0,118.0,152.0
73,Furman,SoCon,FCS,307.5,0,0.0,11,66.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,28,43.5,0,0,0,0,0,0,0,0,173.0,0.0,134.5
74,Navy,Patriot,FBS,298.0,0,0.0,0,0.0,73,5.0,5,70,0,0,17,40.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,88.0,70.0,140.0
75,Kent State,MAC,FBS,294.25,33,37.5,5,72.75,10,67.5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,116.5,177.75
76,Akron,MAC,FBS,288.25,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,46,23.5,16,57.75,0,0,0,0,0,0,108.0,99.0,81.25
77,Colorado State,Mountain West,FBS,267.0,0,0.0,0,0.0,37,34.5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,43,30,0,0,0,0,0,0,144.0,58.5,64.5
78,Utah State,Mountain West,FBS,265.25,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,63,7.75,18,55.5,0,0,0,0,0,0,133.5,43.5,88.25
79,Yale,Ivy League,FCS,262.0,0,0.0,0,0.0,67,5.0,0,0,1,100,8,66.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,63.0,171.0
80,Washington State,Pac 12,FBS,260.5,0,0.0,0,0.0,0,0.0,0,0,0,0,14,48.0,0,0.0,0,0,0,0,46,23.5,0,0,0,0,0,0,0,0,189.0,0.0,71.5
81,James Madison,CAA,FCS,252.5,0,0.0,0,0.0,0,0.0,1,100,0,0,0,0.0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,0.0,137.5
82,Cornell,Ivy League,FCS,242.5,0,0.0,0,0.0,0,0.0,0,0,5,60,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,182.5,60.0
83,San Diego State,Mountain West,FBS,242.0,49,25.0,26,46.5,55,16.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,46,23.5,0,0,0,0,0,0,0,0,50.0,81.0,111.0
84,UConn,American,FBS,233.0,17,50.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,83.0,50.0
85,South Florida,American,FBS,231.0,33,37.5,0,0.0,43,28.0,0,0,0,0,0,0.0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,25.0,103.0
86,UCF,American,FBS,230.0,0,0.0,0,0.0,24,49.0,0,0,0,0,20,34.0,0,0.0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,97.0,0.0,133.0
87,Wichita State,American,DI,223.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,17,50.0,17,50,0,0,0,0,66,5,0,0,0,0,0,0,50.0,68.5,105.0
88,North Dakota State,Summit,FCS,219.0,0,0.0,65,5.0,73,5.0,0,0,0,0,0,0.0,33,37.5,0,0,0,0,28,43.5,0,0,0,0,0,0,0,0,100.0,28.0,91.0
89,Pepperdine,WCC,DI,213.5,0,0.0,41,31.5,43,28.0,0,0,0,0,0,0.0,0,0.0,9,64,0,0,0,0,0,0,0,0,0,0,5,40,50.0,0.0,163.5
90,Stony Brook,America East,FCS,206.5,0,0.0,0,0.0,0,0.0,5,70,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.5,0.0,70.0
91,Southern Utah,Big Sky,FCS,205.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.0,86.5,0.0
92,Dartmouth,Ivy League,FCS,205.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,95.0,85.0,25.0
93,Georgetown,Big East,FCS,202.5,0,0.0,62,11.0,73,5.0,17,25,9,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.5,0.0,66.0
94,Middle Tennessee State,Conference USA,FBS,199.0,0,0.0,0,0.0,37,34.5,0,0,0,0,0,0.0,49,25.0,0,0,0,0,28,43.5,0,0,0,0,0,0,0,0,96.0,0.0,103.0
95,Boston College,ACC,FBS,198.0,0,0.0,0,0.0,0,0.0,2,90,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,83.0,90.0
96,South Dakota State,Summit,FCS,197.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,114.5,0.0
97,Campbell,Big South,FCS,194.0,49,25.0,50,23.0,67,5.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,49,23,0,0,0,0,0,0,33.5,59.5,101.0
98,Cal State Fullerton,Big West,DI,189.0,9,64.0,0,0.0,0,0.0,0,0,0,0,0,0.0,17,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,25.0,114.0
