,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,
,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
73,Iowa State,273.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,24,0,0,0,0
74,Denver,267.25,0,0,20,54,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Providence,263.5,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,41,31,63,8.5,0,0,0,0
76,Georgetown,257.1,0,0,0,0,0,0,0,0,5,60,0,0,0,0,0,0,0,0,35,37.5,0,0,0,0,0,0
77,Southern Illinois,256,0,0,58,15,0,0,0,0,0,0,0,0,33,25,0,0,0,0,35,37.5,0,0,0,0,0,0
77,Pennsylvania,256,0,0,0,0,67,5,3,83,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
79,Cal State Fullerton,255.5,7,68.5,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0
80,Old Dominion,236.5,0,0,0,0,65,5,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0
81,Oral Roberts,232,49,25,55,18,0,0,0,0,0,0,0,0,0,0,33,25,33,25,46,23.5,63,8.5,0,0,0,0
82,Connecticut,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Columbia/Barnard,230,0,0,58,15,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,41,30.5,0,0,0,0
84,California Poly San Louis Obispo,227,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,46,23.5,41,30.5,0,0,0,0
85,St. Johns,226.5,33,25,0,0,61,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Northern Iowa,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,5,40,34,0,0,0,0
87,Hofstra,222,0,0,0,0,0,0,9,25,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
88,New Hampshire,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Albany,215.5,49,25,0,0,0,0,0,0,5,60,0,0,17,50,0,0,0,0,0,0,41,30.5,0,0,0,0
90,Brown,215,49,25,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Long Beach State,211,17,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,67,5,47,24,0,0,0,0
92,Houston,210,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,16,58.5,73,5,0,0,0,0
93,Montana State,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,23.5,0,0,0,0,0,0
94,Massachusetts,200,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
95,North Carolina Charlotte,198,17,50,0,0,3,82.5,0,0,0,0,0,0,0,0,0,0,33,25,59,11.5,0,0,0,0,0,0
96,Yale (Conn.),197,0,0,0,0,0,0,9,25,0,0,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Boise State,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,17,50,0,0,70,5,0,0,0,0
98,Nevada Las Vegas,189,0,0,49,24,46,26,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0
98,Jacksonville (Fla.),189,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
100,William and Mary,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,64,33,25,0,0,0,0,0,0,0,0
101,Middle Tennessee State,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,53,0,0,0,0
102,Rice,175.5,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,56,17,0,0,0,0,0,0
103,Coastal Carolina (S.C.),175,17,50,0,0,5,75,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
104,Nevada,171.5,0,0,0,0,61,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Hampton,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,19,54.5,63,8.5,0,0,0,0
106,San Diego State,158.5,0,0,0,0,70,5,0,0,0,0,0,0,0,0,33,25,0,0,46,23.5,0,0,0,0,4,80
107,Fresno State (Calif.),150.5,17,50,0,0,0,0,0,0,0,0,0,0,33,25,9,64,0,0,59,11.5,0,0,0,0,0,0
107,Army,150.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
109,Winthrop,150,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
110,Syracuse (N.Y.),147,0,0,0,0,0,0,5,60,0,0,0,0,0,0,0,0,0,0,41,31,47,24,0,0,0,0
111,Kansas State,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,18,55,0,0,0,0
112,Illinois State,143,0,0,0,0,40,33,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
113,Sacramento State,140.83,0,0,46,27,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0
114,Wichita State (Kan.),140,9,64,0,0,46,26,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
115,Tulsa,139.6,0,0,0,0,16,51,0,0,0,0,0,0,0,0,33,25,33,25,67,5,0,0,0,0,0,0
116,Iona,139.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,15.5,0,0,0,0
117,Loyola Marymount,139,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,6,64
118,Illinois Chicago,138.83,33,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
119,Texas El Paso,137.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,57,26,46.5,0,0,0,0
120,Mississippi State,136,7,68.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,30,42.5,0,0,0,0
121,Boston University,135.5,0,0,0,0,0,0,9,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
122,Butler,133.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
123,Colorado State,130.5,0,0,0,0,46,26,0,0,0,0,0,0,0,0,0,0,0,0,59,11.5,73,5,0,0,0,0
124,Dartmouth (N.H.),130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0
125,American,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Memphis (Tenn.),125.5,49,25,61,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Virginia Commonwealth,125,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0
127,St. Louis,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Marquette,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Appalachian State,123.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Santa Clara,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
