,,,,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
59,West Virginia,Big 12,FBS,411,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34.5,0,0,0,0,0,0,0,0
60,Pennsylvania,Ivy League,FCS,409.6,17,50,62,8.6,0,0,9,53,0,0,6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Colorado,Pac-12,FBS,377,0,0,0,0,21,53,0,0,0,0,0,0,0,0,0,0,0,0,63,8.5,0,0,0,0,0,0,0,0
62,Iowa State,Big 12,FBS,375.5,0,0,31,40.5,0,0,0,0,0,0,0,0,0,0,5,73,0,0,37,34.5,61,8.5,0,0,0,0,0,0
63,Denver,Summit,DI,373.25,0,0,37,34,0,0,3,83,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
64,Cornell,Ivy League,FCS,363,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
65,Kansas,Big 12,FBS,353,0,0,44,28,50,22,0,0,0,0,0,0,0,0,17,50,0,0,0,0,47,23.5,0,0,0,0,0,0
66,Air Force,Mountain West,FBS,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Georgetown,Big East,FCS,327.5,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0,63,8.5,0,0,0,0,0,0,0,0
68,Houston,American,FBS,304.75,0,0,44,28,63,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,61.5,0,0,0,0,0,0
69,Northern Arizona,Big Sky,FCS,302.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17,0,0,0,0,0,0
70,Hawaii,Big West,FBS,289.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,43,28.5,0,0,2,90,0,0,9,53
