,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
186,South Dakota State,64.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
189,Sam Houston State (Tex.),62.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
190,Western Michigan,62.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
191,Stephen F. Austin,60.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
192,Lamar (Tex.),59.38,49,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9.38,0,0,0,0.0
193,Southern Utah,59.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
194,Southeastern Louisiana,58.2,0,0,0,0.0,63,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,26.0,0,0,0,0.0
195,Northern Colorado,58.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
196,Cal State Northridge,57.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32.5,3,25,0,0.0
196,New Mexico State,57.5,0,0,0,0.0,40,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
198,Cal Poly,55.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
199,Arkansas State,55.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
199,North Carolina Greensboro,55.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
199,Radford (Va.),55.0,0,0,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,69,5.0,0,0,0,0.0
199,UC Davis,55.0,0,0,43,30.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
203,San Jose State (Calif.),50.5,0,0,23,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Arkansas Little Rock,50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Arkansas Pine Bluff,50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Austin Peay,50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
204,Bethune-Cookman (Fla.),50.0,49,25,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Bowling Green,50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Delaware,50.0,0,0,0,0.0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Florida Atlantic,50.0,17,50,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Fordham (N.Y.),50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Indiana/Purdue Ft. Wayne,50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
204,Marquette,50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,North Texas,50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
204,Southern (La.),50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
204,Troy,50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
204,Wofford (S.C.),50.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
218,Portland State (Ore.),48.88,0,0,59,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9.38,0,0,0,0.0
219,Marshall,45.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
220,Western Kentucky,44.38,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9.38,0,0,0,0.0
221,Georgia Southern,44.0,0,0,0,0.0,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
221,Illinois Chicago,44.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
223,Stetson (Fla.),42.5,0,0,55,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
224,Maryland Eastern Shore,40.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
225,Cal State Bakersfield,38.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
226,Sacred Heart (Conn.),38.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
227,Rider (N.J.),36.0,49,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
228,Furman (S.C.),34.2,0,0,46,27.0,63,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
229,Campbell (N.C.),33.0,0,0,40,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
230,Louisiana Monroe,32.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32.5,0,0,0,0.0
230,South Alabama,32.5,0,0,0,0.0,40,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
230,Texas State San Marcos,32.5,0,0,64,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
233,Maine,31.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
234,St. Francis (Pa.),30.0,0,0,0,0.0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
235,Seton Hall (N.J.),25.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Alabama A&M,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Alabama Birmingham,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Alcorn State (Miss.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Ball State,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Central Connecticut State,25.0,49,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Citadel,25.0,33,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Colgate (N.Y.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Creighton (Nebr.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Davidson (N.C.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Delaware State,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Eastern Illinois,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Eastern Kentucky,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
236,Eastern Washington,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Fairfield (Conn.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
236,Florida A&M,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Grambling State (La.),25.0,49,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Hartford (Conn.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,High Point (N.C.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Holy Cross (Mass.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Kennesaw State,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Long Beach State,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Louisiana Tech,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Massachusetts,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Mercer (Ga.),25.0,33,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Missouri State,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Morgan State (Md.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Mount St. Mary's (Md.),25.0,0,0,0,0.0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Niagara,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,North Dakota,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,North Dakota State,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Northern Illinois,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Northwestern State (La.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
236,Oakland (Mich.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Prairie View A&M (Tex.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
236,Quinnipiac (Conn.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
236,Robert Morris (Pa.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Siena (N.Y.),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,UC Riverside,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Utah State,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Weber State (Utah),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Western Illinois,25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,Wright State (Ohio),25.0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
278,Utah Valley State,24.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
279,Georgia State,12.0,0,0,61,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
279,San Francisco,12.0,0,0,61,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
281,Detroit Mercy,10.0,0,0,67,5.0,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
281,Jackson State (Miss.),10.0,0,0,70,5.0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
283,Charleston Southern (S.C.),5.0,0,0,67,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
283,Idaho State,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,5,0,0.0,0,0,0,0.0
283,Lafayette (Pa.),5.0,0,0,0,0.0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
