Rank,Institution,Conference,Division,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
,,,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
48,Arizona,Pac-12,FBS,525,49,25,31,40,15,60,0,0,0,0,0,0,9,64,33,25,9,64,0,0,0,0,0,0,0,0,0,0
49,Louisville,ACC,FBS,515.5,0,0,0,0,55,16,0,0,0,0,0,0,0,0,0,0,0,0,22,52,56,16,0,0,0,0,0,0
50,Virginia Tech,ACC,FBS,499.25,0,0,50,22,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,54,19,47,27,0,0,0,0,0,0
51,West Virginia,Big 12,FBS,496,9,64,0,0,28,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Pennsylvania,Ivy League,FCS,459,49,25,0,0,0,0,5,70,0,0,10,60,0,0,0,0,0,0,45,27.5,61,13,0,0,0,0,0,0
53,Georgetown,Big East,FCS,451,0,0,0,0,0,0,0,0,5,65,0,0,0,0,0,0,0,0,30,43,32,40,0,0,0,0,0,0
54,SMU,American,FBS,447.5,0,0,24,49.5,26,48,0,0,0,0,21,32,0,0,17,50,33,25,50,23,0,0,0,0,0,0,0,0
55,Missouri,SEC,FBS,426.5,0,0,0,0,55,16,0,0,0,0,0,0,9,64,0,0,0,0,50,23,48,24.5,0,0,0,0,0,0
56,Wake Forest,ACC,FBS,421,49,25,9,69,16,58.5,0,0,0,0,0,0,0,0,33,25,3,83,0,0,0,0,0,0,0,0,0,0
57,Vanderbilt,SEC,FBS,410.25,49,25,20,54,5,72.75,0,0,0,0,0,0,0,0,9,64,33,25,23,50.5,0,0,0,0,0,0,0,0
58,Houston,Big 12,FBS,409.5,0,0,31,40,31,40.5,0,0,0,0,0,0,0,0,0,0,0,0,33,40.5,6,73.5,0,0,0,0,0,0
59,Colorado,Pac-12,FBS,407.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,0,0,0,0,0,0,0,0
60,Mississippi State,SEC,FBS,401.5,17,50,15,60,37,34,0,0,0,0,0,0,33,37.5,0,0,9,64,0,0,27,45.5,0,0,0,0,0,0
61,Maryland,Big Ten,FBS,400.5,0,0,50,22,0,0,5,70,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Kansas,Big 12,FBS,400.25,0,0,31,40,62,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66.75,0,0,0,0,0,0
63,Oregon State,Pac-12,FBS,393,9,64,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Iowa,Big Ten,FBS,391.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10.5,0,0,0,0,0,0
65,Purdue,Big Ten,FBS,389,0,0,29,45,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,0,0,0,0,0,0
66,Rutgers,Big Ten,FBS,368.5,0,0,0,0,0,0,0,0,0,0,14,48,0,0,0,0,0,0,27,46,0,0,0,0,0,0,0,0
67,Miami (FL),ACC,FBS,368.25,0,0,43,28,0,0,0,0,0,0,0,0,0,0,9,64,0,0,57,15,10,66.75,0,0,0,0,0,0
68,Boston College,ACC,FBS,360,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,TCU,Big 12,FBS,352.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,40,32.5,0,0,0,0,0,0,9,45
70,Northern Arizona,Big Sky,FCS,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,23,50.5,0,0,0,0,0,0
71,Cornell,Ivy League,FCS,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
72,Yale,Ivy League,FCS,329,0,0,0,0,67,5,5,70,0,0,8,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Villanova,Big East,FCS,328,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,49,25,52,20.5,0,0,0,0,0,0
74,Georgia Tech,ACC,FBS,316.5,17,50,0,0,3,82.5,0,0,0,0,0,0,0,0,17,50,33,25,0,0,0,0,0,0,0,0,0,0
75,Grand Canyon,WAC,DI,309.5,17,50,0,0,73,5,0,0,0,0,0,0,17,50,33,25,0,0,0,0,48,24.5,3,55,0,0,0,0
76,Air Force,Mountain West,FBS,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,James Madison,Sun Belt,FBS,292,17,50,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Gonzaga,WCC,DI,292,0,0,0,0,0,0,0,0,0,0,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Columbia,Ivy League,FCS,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0,0,0,0,0,0,0
80,Pittsburgh,ACC,FBS,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,UConn,Big East,FBS,272,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,UCF,Big 12,FBS,271.5,17,50,50,22,0,0,0,0,0,0,0,0,33,37.5,0,0,17,50,36,37,0,0,0,0,0,0,0,0
83,UC Irvine,Big West,DI,269,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,3,55,0,0,0,0
84,South Dakota State,Summit,FCS,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,San Jose State,Mountain West,FBS,256,0,0,17,56.5,67,5,0,0,0,0,0,0,0,0,0,0,0,0,36,37,48,24.5,0,0,0,0,0,0
86,California Baptist,WAC,DI,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32.5,0,0,0,0,0,0,0,0
87,Long Beach State,Big West,DI,222,0,0,43,28,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,0,0,9,45
88,New Mexico,Mountain West,FBS,217.5,0,0,0,0,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,50.5,0,0,0,0,0,0
89,Arkansas State,Sun Belt,FBS,213,0,0,0,0,49,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Pepperdine,WCC,DI,213,0,0,19,55,0,0,0,0,0,0,0,0,0,0,3,83,33,25,0,0,0,0,0,0,0,0,0,0
91,Colorado State,Mountain West,FBS,211,0,0,55,16.5,55,16,0,0,0,0,0,0,0,0,0,0,0,0,18,55.5,0,0,0,0,0,0,0,0
92,Memphis,American,FBS,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
93,Boston University,Patriot,DI,206.5,0,0,0,0,0,0,0,0,0,0,19,36,33,37.5,0,0,33,25,0,0,0,0,0,0,0,0,0,0
94,Charlotte,American,FBS,199,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,33,25,33,40.5,0,0,0,0,0,0,0,0
95,Providence,Big East,DI,198.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,49,0,0,0,0,0,0,0,0
96,Kansas State,Big 12,FBS,197,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,San Diego,WCC,FCS,196.5,33,37.5,0,0,37,34,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0,0,0,0,0,0,0
98,Montana State,Big Sky,FCS,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Washington State,Pac-12,FBS,194.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,46,62,10.5,0,0,0,0,0,0
100,Brown,Ivy League,FCS,188,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Rice,American,FBS,184.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,21,53,0,0,0,0,0,0,0,0
102,Navy,Patriot,FBS,183.5,0,0,55,16.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
103,Texas State,Sun Belt,FBS,182.5,0,0,55,16.5,0,0,0,0,0,0,0,0,17,50,0,0,0,0,27,46,0,0,0,0,0,0,0,0
104,VCU,Atlantic 10,DI,180,33,37.5,0,0,44,28,0,0,0,0,0,0,0,0,0,0,17,50,45,27,0,0,0,0,0,0,0,0
105,Creighton,Big East,DI,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Hawaii,Big West,FBS,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,9,45
107,Southern Illinois,Missouri Valley,FCS,171.5,0,0,0,0,49,22.5,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Old Dominion,Sun Belt,FBS,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,33,25,0,0,0,0,0,0,0,0,0,0
109,Towson,CAA,FCS,168.5,0,0,0,0,0,0,0,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Western Michigan,MAC,FBS,164,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Tennessee Chattanooga,SoCon,FCS,164,0,0,0,0,55,16,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,17,25
112,South Alabama,Sun Belt,FBS,163,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,31,43,0,0,0,0,0,0
113,South Florida,American,FBS,162,0,0,43,28,49,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,48,0,0,0,0,0,0
