,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,W. WP,W. WP,W. WP
148,Jacksonville,Atlantic Sun,FCS,105.0,0,0,0,0,0,0.0,17,25,0,0,22,30,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,0.0,55.0
149,Washington State,Pac 12,FBS,104.0,0,0,0,0,0,0.0,0,0,0,0,14,48,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,6.0,48.0
150,Fordham,Atlantic 10,FCS,103.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,53.0,25.0,25.0
151,Georgia State,Sun Belt,FBS,102.0,0,0,0,0,22,52.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,102.0
152,Fresno State,Mountain West,FBS,101.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,25.0,51.5,25.0
153,Southern Illinois,Missouri Valley,FCS,101.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42,31.5,0,0,0,0.0,28.0,41.5,31.5
154,Central Michigan,MAC,FBS,100.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,100.25,0.0
155,Elon,SoCon,FCS,100.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0.0,50.0,0.0,50.0
156,Dayton,Atlantic 10,FCS,98.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,98.0,0.0
157,Southern Utah,Big Sky,FCS,96.5,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,46.5,25.0
158,Montana,Big Sky,FCS,96.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,54,18.0,0,0,0,0,0,0.0,53.0,0.0,43.0
158,Hawaii,Big West,FBS,96.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,46.0,0.0
160,Eastern Illinois,OVC,FCS,95.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,25,0,0,0,0.0,70.0,0.0,25.0
161,VCU,Atlantic 10,DI,94.25,0,0,0,0,61,9.25,0,0,0,0,0,0,0,0,33,25,0,0,59,10.0,0,0,0,0,0,0.0,25.0,25.0,44.25
162,UTSA,Conference USA,FBS,93.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,40,0,0,0,0.0,53.0,0.0,40.0
163,George Mason,Atlantic 10,DI,92.5,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,17.5,25.0
164,South Dakota,Summit,FCS,91.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,91.75,0.0
165,Drexel,CAA,DI,90.0,0,0,0,0,0,0.0,0,0,5,60,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,5.0,60.0
165,Northern Iowa,Missouri Valley,FCS,90.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,30.0,0,0,0,0,0,0.0,0.0,60.0,30.0
165,Gonzaga,WCC,DI,90.0,0,0,58,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,75.0,15.0
165,Pacific,WCC,DI,90.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,90.0,0.0,0.0
169,South Alabama,Sun Belt,FBS,89.75,0,0,0,0,61,9.25,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,64,5.5,0,0,0,0.0,25.0,0.0,64.75
170,Youngstown State,Horizon League,FCS,88.5,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,0.0,38.5,50.0
171,McNeese State,Southland,FCS,86.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,53.0,33.5,0.0
172,Cal State Fullerton,Big West,DI,84.25,17,50,0,0,61,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,59.25
172,Tulane,Conference USA,FBS,84.25,0,0,15,59.25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,59.25
174,Utah State,Mountain West,FBS,84.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,45.0,39.0,0.0
175,Campbell,Big South,FCS,83.5,33,25,20,53.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,5.0,78.5
176,Eastern Washington,Big Sky,FCS,83.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,83.0,0.0,0.0
176,Loyola Maryland,Patriot,DI,83.0,0,0,0,0,73,5.0,9,53,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,83.0
178,Stephen F. Austin,Southland,FCS,82.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,5.5,0,0,0,0.0,27.0,50.0,5.5
179,Sacred Heart,Northeast,FCS,82.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,57.0,0.0
180,Wyoming,Mountain West,FBS,81.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60,12.5,0,0,0,0.0,0.0,69.0,12.5
181,St. Francis (NY),Northeast,DI,80.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,80.0,0.0,0.0
182,Yale,Ivy League,FCS,79.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,54.0,0.0
183,Stony Brook,America East,FCS,78.0,0,0,0,0,0,0.0,9,53,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,78.0
183,Weber State,Big Sky,FCS,78.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,53.0,25.0,0.0
183,Furman,SoCon,FCS,78.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,78.0,0.0,0.0
186,Mercer,Atlantic Sun,FCS,77.5,0,0,0,0,44,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,50.0,27.5
186,Georgia Southern,SoCon,FCS,77.5,33,25,0,0,44,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,52.5
188,SIU Edwardsville,OVC,DI,75.5,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,44,25,0,0,0,0.0,0.0,25.5,50.0
189,UMBC,America East,DI,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,75.0,0.0,0.0
189,Saint Joseph's,Atlantic 10,DI,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,75.0,0.0
189,Winthrop,Big South,DI,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0.0,0.0,25.0,50.0
189,Delaware,CAA,FCS,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,25.0,0.0
189,James Madison,CAA,FCS,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,50.0,25.0
189,Quinnipiac,MAAC,DI,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,25.0,25.0,25.0
189,Western Michigan,MAC,FBS,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,25.0,0.0
189,South Carolina State,MEAC,FCS,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0.0,25.0,0.0,50.0
189,Bradley,Missouri Valley,DI,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,0.0,25.0
189,Robert Morris,Northeast,FCS,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,25,0,0,0,0.0,0.0,50.0,25.0
189,Jackson State,SWAC,FCS,75.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,50.0
189,Idaho,WAC,FBS,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0.0,0.0,25.0,50.0
189,Seattle,WAC,DI,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,75.0,0.0,0.0
202,Florida Gulf Coast,Atlantic Sun,DI,66.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,66.5,0.0
203,San Francisco,WCC,DI,66.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,10.0,0,0,0,0,0,0.0,56.0,0.0,10.0
205,Montana State,Big Sky,FCS,63.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,63.0,0.0
205,Northeastern,CAA,DI,63.0,0,0,0,0,0,0.0,0,0,0,0,18,38,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,38.0
204,Santa Clara,WCC,DI,64.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,64.0,0.0,0.0
207,Texas State,Sun Belt,FBS,61.0,0,0,37,36,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,36.0
208,Massachusetts Lowell,America East,DI,60.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,0.0
208,Bowling Green,MAC,FBS,60.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,35.0,0,0,0,0,0,0.0,25.0,0.0,35.0
208,Miami (OH),MAC,FBS,60.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,37,35.0,0,0,0,0,0,0.0,0.0,0.0,60.0
208,New Mexico State,WAC,FBS,60.0,0,0,67,5,73,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,25.0,10.0
212,South Dakota State,Summit,FCS,58.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,53.0,5.0,0.0
213,Charleston Southern,Big South,FCS,57.5,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,55,17.5,0,0,0,0.0,0.0,15.0,42.5
213,Hofstra,CAA,DI,57.5,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,32.5,25.0
215,Lehigh,Patriot,FCS,56.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,56.0,0.0
216,Bethune-Cookman,MEAC,FCS,55.0,33,25,0,0,73,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,30.0
216,Hampton,MEAC,FCS,55.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73,5,0,0,0,0.0,25.0,25.0,5.0
216,Maryland Eastern Shore,MEAC,DI,55.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,0.0
219,Maine,America East,FCS,53.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,53.0,0.0,0.0
219,Tennessee State,OVC,FCS,53.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,53.0,0.0,0.0
221,Temple,American,FBS,51.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,51.0,0.0
222,Binghamton,America East,DI,50.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,25.0
222,Cincinnati,American,FBS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,25.0,0.0
222,George Washington,Atlantic 10,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,0.0,25.0,25.0
222,Saint Louis,Atlantic 10,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,50.0,0.0
222,Lipscomb,Atlantic Sun,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,50.0
222,Sacramento State,Big Sky,FCS,50.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,50.0
222,North Carolina Wilmington,CAA,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0.0,0.0,0.0,50.0
222,North Carolina Charlotte,Conference USA,FCS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,0.0,0.0
222,Wisconsin Green Bay,Horizon League,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,33,25,0,0.0,0,0,0,0,0,0.0,0.0,0.0,50.0
222,Marist,MAAC,FCS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,0.0,25.0,25.0
222,Ball State,MAC,FBS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,25.0,0.0,25.0
222,Fairleigh Dickinson,Northeast,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,25.0
222,Morehead State,OVC,FCS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,0.0,0.0
222,Texas A&M Corpus Christi,Southland,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0.0,0.0,0.0,50.0
236,Marshall,Conference USA,FBS,45.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,45.0,0.0,0.0
236,North Texas,Conference USA,FBS,45.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,45.0,0.0,0.0
236,Buffalo,MAC,FBS,45.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,20.0,0.0
236,Northern Illinois,MAC,FBS,45.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,20.0,0.0
236,Bucknell,Patriot,FCS,45.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,20.0,25.0
241,Citadel,SoCon,FCS,43.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,43.0,0.0
242,North Florida,Atlantic Sun,DI,40.0,0,0,0,0,31,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,40.0
242,Cleveland State,Horizon League,DI,40.0,0,0,0,0,56,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,24.0,16.0
244,San Jose State,Mountain West,FBS,39.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,39.0,0.0
245,Lamar,Southland,FCS,38.5,0,0,61,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,27.0,0.0,11.5
246,Radford,Big South,DI,37.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60,12.5,0,0,0,0.0,25.0,0.0,12.5
247,Rider,MAAC,DI,37.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,37.0,0.0
248,Cal State Bakersfield,WAC,DI,36.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,36.5,0.0
249,Alabama State,SWAC,FCS,35.0,0,0,70,5,73,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,10.0
250,North Carolina Greensboro,SoCon,DI,33.5,0,0,0,0,38,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,33.5
251,Utah Valley,WAC,DI,32.5,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,7.5,25.0
252,Xavier,Big East,DI,30.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,5.0,25.0
252,Siena,MAAC,DI,30.0,33,25,70,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,30.0
252,LIU Brooklyn,Northeast,DI,30.0,0,0,67,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,5.0
252,Murray State,OVC,FCS,30.0,0,0,67,5,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,30.0
252,Texas Southern,SWAC,FCS,30.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,5.0,25.0
257,NJIT,Independent,DI,28.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,28.0,0.0
258,Florida International,Conference USA,FBS,26.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,26.5,0.0
259,Duquesne,Atlantic 10,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,La Salle,Atlantic 10,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,South Carolina Upstate,Atlantic Sun,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,25.0
259,Stetson,Atlantic Sun,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,25.0
259,Idaho State,Big Sky,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,High Point,Big South,DI,25.0,0,0,0,0,0,0.0,17,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,25.0
259,Wright State,Horizon League,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,0.0
259,Canisius,MAAC,DI,25.0,0,0,0,0,0,0.0,17,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,25.0
259,Fairfield,MAAC,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,Manhattan,MAAC,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,0.0
259,Monmouth,MAAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,Florida A&M,MEAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,25.0
259,North Carolina Central,MEAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,0.0
259,Drake,Missouri Valley,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,0.0,0.0,25.0
259,Saint Francis  (PA),Northeast,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,Tennessee Martin,OVC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,0.0
259,Colgate,Patriot,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,0.0
259,Lafayette,Patriot,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,Samford,SoCon,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,Wofford,SoCon,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,0.0
259,Central Arkansas,Southland,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,IUPUI,Summit,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
259,Alcorn State,SWAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,0.0,0.0,25.0
259,Prairie View A&M,SWAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,25.0,0.0
259,Loyola Marymount,WCC,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,0.0
284,Coppin State,MEAC,DI,22.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,22.0,0.0
284,Nevada,Mountain West,FBS,22.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,22.0,0.0
286,Texas Arlington,Sun Belt,DI,17.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55,17.5,0,0,0,0.0,0.0,0.0,17.5
287,Troy,Sun Belt,FBS,15.0,0,0,58,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,15.0
288,Gardner-Webb,Big South,FCS,12.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,12.5,0.0
289,Seton Hall,Big East,DI,11.5,0,0,61,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,11.5
289,Portland State,Big Sky,FCS,11.5,0,0,61,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,11.5
291,North Carolina A&T,MEAC,FCS,5.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,5.5,0,0,0,0.0,0.0,0.0,5.5
292,Detroit Mercy,Horizon League,DI,5.0,0,0,70,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,5.0
292,Appalachian State,SoCon,FCS,5.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,5.0,0.0
292,Davidson,SoCon,FCS,5.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,5.0,0.0
292,Northern Colorado,Big Sky,FCS,5.0,0,0,0,0,73,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,5.0
292,Saint Peter's,MAAC,DI,5.0,0,0,0,0,79,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,5.0
292,Mount St. Mary's,Northeast,DI,5.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,5.0,0.0
