,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
58,Colorado,Pac-12,FBS,418.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,68.25,0,0,0,0,0,0,0,0
59,Denver,Summit,DI,417.75,0,0,61,10.5,39,33.5,9,53,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
60,Pennsylvania,Ivy League,FCS,406.5,0,0,0,0,0,0,0,0,5,70,11,57,0,0,0,0,33,25,0,0,30,41.5,0,0,0,0,0,0
61,Kansas,Big 12,FBS,384.5,0,0,0,0,17,57,0,0,0,0,0,0,0,0,33,25,0,0,30,41.5,64,8.5,0,0,0,0,0,0
62,Pepperdine,WCC,DI,375,0,0,31,40.5,3,82.5,0,0,0,0,0,0,0,0,5,73,17,50,0,0,0,0,5,40,0,0,0,0
62,West Virginia,Big 12,FBS,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35.5,0,0,0,0,0,0,0,0
64,Indiana,Big Ten,FBS,358,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Clemson,ACC,FBS,357.5,0,0,37,33.5,31,39.5,0,0,0,0,0,0,9,64,0,0,0,0,0,0,36,37,0,0,0,0,0,0
66,Vanderbilt,SEC,FBS,356,17,50,22,51.5,3,82.5,0,0,0,0,0,0,0,0,9,64,0,0,49,21.5,0,0,0,0,0,0,0,0
67,Air Force,Mountain West,FBS,354.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,0,0,0,0,0,0
68,Georgia Tech,ACC,FBS,352.25,17,50,0,0,12,63.75,0,0,0,0,0,0,33,37.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0
69,UCF,American,FBS,350.5,0,0,61,10.5,49,22,0,0,0,0,0,0,9,64,17,50,0,0,57,15,0,0,0,0,0,0,0,0
70,Georgetown,Big East,FCS,329,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,62,8.5,46,26.5,0,0,0,0,0,0
71,Northern Arizona,Big Sky,FCS,311.5,0,0,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,23,50.5,0,0,0,0,0,0
72,Syracuse,ACC,FBS,304,0,0,0,0,0,0,5,70,0,0,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Pittsburgh,ACC,FBS,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Liberty,ASUN,FBS,297.5,49,25,0,0,26,48,0,0,0,0,0,0,33,37.5,0,0,33,25,0,0,0,0,0,0,0,0,0,0
75,Columbia,Ivy League,FCS,283.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
76,Mississippi State,SEC,FBS,270.5,0,0,17,57,61,10.5,0,0,0,0,0,0,9,64,0,0,33,25,0,0,30,41.5,0,0,0,0,0,0
77,Montana State,Big Sky,FCS,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,47,0,0,0,0,0,0
78,Gonzaga,WCC,DI,264.5,33,37.5,0,0,0,0,0,0,0,0,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Kansas State,Big 12,FBS,253.5,0,0,0,0,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0
80,North Carolina A&T State,Big South,FCS,251.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,50.5,9,68.25,0,0,0,0,0,0
81,Providence,Big East,DI,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0
82,Vermont,America East,DI,243,0,0,0,0,0,0,17,25,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Cornell,Ivy League,FCS,237.5,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,45,27.5,0,0,0,0,0,0,0,0
84,Sam Houston State,WAC,FCS,236.5,0,0,37,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0
85,UConn,Big East,FBS,231,9,64,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Creighton,Big East,DI,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Tulsa,American,FBS,220.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,59,13,0,0,0,0,0,0
88,Georgia State,Sun Belt,FBS,216.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,5,71.5
89,SMU,American,FBS,209.5,0,0,0,0,31,39.5,0,0,0,0,12,54,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
90,Washington State,Pac-12,FBS,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,8.5,54,18,0,0,0,0,0,0
91,San Diego State,Mountain West,FBS,205.5,0,0,0,0,43,28.5,0,0,0,0,0,0,17,50,33,25,0,0,0,0,0,0,0,0,0,0,0,0
92,Hawaii,Big West,FBS,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,9,25
93,Stephen F. Austin,WAC,FCS,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,0,0,0,0,0,0
