,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
174,Mount St. Mary's,Northeast,DI,80,0,0,Canc0eled,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Nevada,Mountain West,FBS,78,49,25,0,0,62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Mercer,SoCon,FCS,77,0,0,46,27,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Ball State,MAC,FBS,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
179,East Tennessee State,SoCon,FCS,76,0,0,Regional Canceled,5,28,46,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
181,Hofstra,CAA,DI,75.5,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,50,21,0,0,0,0,0,0
182,Tulane,American,FBS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
182,St. John's (NY),Big East,DI,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Wisconsin Milwaukee,Horizon League,DI,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Fairfield,MAAC,DI,75,17,50,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Bowling Green,MAC,FBS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Morehead State,OVC,FCS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,American,Patriot,DI,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Boston University,Patriot,DI,75,0,0,0,0,0,0,0,0,0,0,0,0,49,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0
182,North Carolina Greensboro,SoCon,DI,75,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Samford,SoCon,FCS,75,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Omaha,Summit,DI,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Alabama State,SWAC,FCS,75,0,0,0,0,0,0,0,0,0,0,0,0,49,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0
194,Seton Hall,Big East,DI,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,UTSA,Conference USA,FBS,71,0,0,43,30,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Southeastern Louisiana,Southland,FCS,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,0,0,0,0,0,0
197,UC San Diego,Big West,DI,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Ohio,MAC,FBS,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Brown,Ivy League,FCS,66,0,0,0,0,0,0,0,0,0,0,8,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Western Michigan,MAC,FBS,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
200,Jacksonville State,OVC,FCS,65,0,0,Regional Canceled,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,UNLV,Mountain West,FBS,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14.5,0,0,0,0,0,0,0,0
203,Oral Roberts,Summit,DI,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,McNeese State,Southland,FCS,62.5,49,25,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Troy,Sun Belt,FBS,62.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Providence,Big East,DI,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Arkansas Little Rock,Sun Belt,DI,59.5,0,0,0,0,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,San Francisco,WCC,DI,59,0,0,0,0,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Eastern Michigan,MAC,FBS,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,UAB,Conference USA,FBS,55,0,0,0,0,24,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Princeton,Ivy League,FCS,54,0,0,0,0,0,0,0,0,0,0,12,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,North Carolina Wilmington,CAA,DI,52.5,0,0,0,0,45,27.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
213,Butler,Big East,FCS,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Long Beach State,Big West,DI,51,0,0,0,0,67,5,0,0,0,0,0,0,49,25,0,0,0,0,0,0,50,21,0,0,0,0,0,0
215,UMBC,America East,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Dayton,Atlantic 10,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Fordham,Atlantic 10,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Saint Louis,Atlantic 10,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Eastern Washington,Big Sky,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Presbyterian College,Big South,FCS,50,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
215,UC Irvine,Big West,DI,50,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Illinois Chicago,Horizon League,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,49,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0
215,Siena,MAAC,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
215,South Carolina State,MEAC,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
215,Central Connecticut State,Northeast,FCS,50,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Robert Morris,Northeast,FCS,50,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,St. Francis (NY),Northeast,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Eastern Kentucky,OVC,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Colgate,Patriot,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Abilene Christian,Southland,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Jackson State,SWAC,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Binghamton,America East,DI,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14.5,0,0,0,0,0,0,0,0
233,Incarnate Word,Southland,FCS,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Illinois State,Missouri Valley,FCS,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22.5,0,0,0,0,0,0,0,0
235,Akron,MAC,FBS,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Lipscomb,ASUN,DI,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,0,0,0,0,0,0
237,Northern Illinois,MAC,FBS,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Georgia State,Sun Belt,FBS,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,New Mexico State,WAC,FBS,43.5,0,0,34,38.5,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Xavier,Big East,DI,43,0,0,55,18,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
241,Duquesne,Atlantic 10,FCS,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Delaware State,MEAC,FCS,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Davidson,Atlantic 10,FCS,41,0,0,0,0,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Massachusetts Lowell,America East,DI,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Indiana State,Missouri Valley,FCS,37.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Seattle,WAC,DI,37.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Oakland,Horizon League,DI,36,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,William & Mary,CAA,FCS,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Rhode Island,Atlantic 10,FCS,32,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Cal State Bakersfield,WAC,DI,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,College of Charleston,CAA,DI,31,0,0,49,23,62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Sacramento State,Big Sky,FCS,30,0,0,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Quinnipiac,MAAC,DI,30,0,0,Regional Canceled,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Prairie View A&M,SWAC,FCS,30,0,0,0,0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Hartford,America East,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,George Washington,Atlantic 10,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,St. Bonaventure,Atlantic 10,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,DePaul,Big East,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
255,Idaho State,Big Sky,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Montana,Big Sky,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Northern Colorado,Big Sky,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Charleston Southern,Big South,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
255,Winthrop,Big South,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,UC Davis,Big West,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Elon,CAA,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,FAU,Conference USA,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,FIU,Conference USA,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
255,Manhattan,MAAC,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Morgan State,MEAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Bradley,Missouri Valley,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Bryant,Northeast,FCS,25,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Saint Francis (PA),Northeast,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Austin Peay State,OVC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
255,SIU Edwardsville,OVC,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Southeast Missouri State,OVC,FCS,25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Holy Cross,Patriot,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Virginia Military Institute,SoCon,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Western Illinois,Summit,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Alabama A&M,SWAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
255,Southern,SWAC,FCS,25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Texas Southern,SWAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,California Baptist,WAC,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Gardner-Webb,Big South,FCS,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Idaho,Big Sky,FBS,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,0,0,0,0,0,0
285,Tennessee Chattanooga,SoCon,FCS,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Evansville,Missouri Valley,DI,15,0,0,58,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,UTEP,Conference USA,FBS,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,13,0,0,0,0,0,0
287,Houston Baptist,Southland,FCS,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Texas Arlington,Sun Belt,DI,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Tennessee Martin,OVC,FCS,8,0,0,0,0,62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Richmond,Atlantic 10,FCS,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,7.75,0,0,0,0,0,0,0,0
291,Cornell,Ivy League,FCS,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,7.75,0,0,0,0,0,0,0,0
293,Florida A&M,MEAC,FCS,5,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
