,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
67,Yale (Conn.),264.5,0,0,58,15.0,76,5.0,5,60,0,0,10,28,0,0,0,0,0,0,20,0.0,0,0.0
68,Pittsburgh (Penn.),260.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
69,Baylor (Tex.),259.5,9,64,44,29.0,79,5.0,0,0,0,0,0,0,0,0,33,25,5,73,29,43.5,52,20.0
70,Fresno State (Cal.),239.5,0,0,0,0.0,53,20.5,0,0,0,0,0,0,17,50,17,50,17,50,0,0.0,0,0.0
71,Rice (Tex.),231.0,1,100,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,43,28.5,57,13.5
72,Kent State (Ohio),223.5,0,0,19,54.5,50,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
73,New Hampshire,222.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
74,American (D.C.),221.5,0,0,0,0.0,0,0.0,9,25,0,0,0,0,0,0,0,0,33,25,0,0.0,46,26.5
75,Denver (Col.),214.75,0,0,47,26.0,44,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
76,Syracuse (N.Y.),208.0,0,0,0,0.0,0,0.0,9,25,3,83,0,0,0,0,0,0,0,0,0,0.0,0,0.0
77,Tulane (La.),205.5,33,25,32,41.5,0,0.0,0,0,0,0,0,0,0,0,17,50,9,64,0,0.0,0,0.0
78,Northwestern (Ill.),203.0,0,0,0,0.0,64,7.5,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,0,0.0
79,Central Michigan,202.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
80,Rutgers (N.J.),202.0,33,25,0,0.0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0.0
81,California-Santa Barbara,200.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,62,11.0,0,0.0
81,Northeastern (Mass.),200.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65,0.0
83,Temple (Penn.),197.5,0,0,0,0.0,0,0.0,9,25,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
84,West Virginia,196.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
85,Dartmouth (N.H.),195.5,0,0,0,0.0,0,0.0,5,60,9,25,0,0,0,0,0,0,0,0,0,0.0,57,13.5
86,Eastern Michigan,194.5,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,28.5,27,0.0
87,San Diego State (Cal.),193.0,0,0,0,0.0,19,49.5,0,0,0,0,0,0,33,25,33,25,17,50,29,43.5,0,0.0
88,Old Dominion (Va.),186.0,0,0,0,0.0,44,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
89,Northern Arizona,184.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.0,0,0.0
90,Brown (R.I.),184.0,0,0,0,0.0,0,0.0,0,0,0,0,2,90,0,0,0,0,33,25,0,0.0,0,0.0
90,Colorado State,184.0,0,0,0,0.0,55,18.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,24,49.0
92,Hawaii,183.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0.0
93,Boston University (Mass.),182.0,0,0,0,0.0,0,0.0,9,25,0,0,0,0,49,25,33,25,0,0,0,0.0,0,0.0
94,Nevada-Las Vegas,179.5,17,50,32,41.5,13,63.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
95,San Diego (Cal.),179.0,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
96,Mississippi,178.5,33,25,55,18.0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,73,0,0.0,57,0.0
97,California Poly -San Louis Obispo,176.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,16,58.5,0,0.0
97,Cornell (N.Y.),176.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
99,Western Kentucky,175.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
100,Columbia/Barnard (N.Y.),170.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
101,Providence (R.I.),169.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,46.5,0,0.0
102,Texas Tech,168.5,0,0,0,0.0,34,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17,56.5
103,Richmond (Va.),164.0,17,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
103,Wichita State (Kan.),164.0,17,50,0,0.0,18,56.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,37,33.0
