,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,Conference,Division,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
75,Mountain West,FBS,San Diego State,253.75,0,0,49,25,16,57.75,0,0,0,0,0,0,17,50.0,0,0,0,0,60,12,0,0.0,0,0,0,0.0
76,America East,FCS,New Hampshire,242.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
77,Ivy League,FCS,Dartmouth (N.H.),241.5,0,0,0,0,0,0,9,25,0,0,16,10,0,0.0,0,0,0,0,40,32.5,0,0.0,0,0,0,0.0
78,Big West,DI,UC Irvine,238.0,9,64,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,34,39.0,0,0,5,46.0
79,SEC,FBS,Mississippi State,237.0,9,64,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,17,50,0,0,20,52.0,0,0,0,0.0
80,WCC,FCS,San Diego,232.75,0,0,0,0,16,57.75,0,0,0,0,0,0,0,0.0,17,50,17,50,0,0,0,0.0,0,0,0,0.0
81,MAAC,DI,Iona (N.Y.),231.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,16,57.75,0,0,8,25.0
82,America East,DI,Boston University,229.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,66,5,0,0.0,0,0,0,0.0
83,WAC,FBS,Boise State,228.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
84,Ivy League,FCS,Yale,226.0,0,0,65,5,73,5,0,0,0,0,11,30,0,0.0,17,50,0,0,51,22,0,0.0,0,0,0,0.0
85,Ivy League,FCS,Brown (R.I.),212.0,0,0,0,0,0,0,0,0,0,0,1,100,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
86,Big East,FBS,South Florida,208.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,41,31.0,0,0,0,0.0
87,WAC,FBS,Fresno State,200.0,49,25,0,0,0,0,0,0,0,0,0,0,33,25.0,33,25,17,50,0,0,0,0.0,0,0,0,0.0
88,Conference USA,FBS,East Carolina (N.C.),198.5,17,50,58,16,51,21,0,0,0,0,0,0,17,50.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
89,Ivy League,FCS,Harvard,194.0,0,0,0,0,0,0,0,0,0,0,14,18,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
90,Patriot League,FBS,Navy,191.5,49,25,0,0,0,0,9,25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
91,Summit League,FCS,North Dakota State,188.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25.0,0,0,0,0,51,22,0,0.0,0,0,0,0.0
92,Mountain West,FBS,Air Force,188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,64,6.0,0,0,0,0.0
92,Ohio Valley,FCS,Jacksonville State (Ala.),188.0,0,0,0,0,73,5,0,0,0,0,0,0,33,25.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
94,Big East,DI,St. John's (N.Y.),185.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
95,Conference USA,FBS,Southern Mississippi,179.75,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,67.5,0,0.0,0,0,0,0.0
96,Big East,DI,Marquette,178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
96,CAA,FCS,William and Mary (Va.),178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
98,Patriot League,FCS,Lehigh (Pa.),173.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
99,CAA,FCS,Old Dominion (Va.),171.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
100,Horizon League,FCS,Butler (Ind.),170.0,0,0,70,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
101,Mountain West,FBS,UNLV,164.5,0,0,61,13,68,5,0,0,0,0,0,0,0,0.0,33,25,0,0,32,41.5,0,0.0,0,0,0,0.0
102,MAC,FBS,Akron,163.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,58,13.5,0,0,0,0.0
103,Sun Belt,FBS,Middle Tennessee State,161.5,0,0,0,0,56,15,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
104,Conference USA,FBS,Houston,161.0,0,0,0,0,0,0,0,0,0,0,0,0,9,64.0,0,0,0,0,0,0,64,6.0,0,0,0,0.0
105,SoCon,FCS,Georgia Southern,160.5,49,25,0,0,43,27.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
106,Big South,FCS,Coastal Carolina (S.C.),159.5,33,25,24,50,37,34.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
107,Patriot League,FBS,Army,157.0,0,0,0,0,73,5,0,0,0,0,0,0,0,0.0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
108,Ivy League,FCS,Columbia/Barnard (N.Y.),156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
109,Big South,FCS,Liberty (Va.),152.25,0,0,0,0,56,15,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,12,62.25,0,0,0,0.0
110,Atlantic 10,FCS,Dayton,152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
111,MAC,FBS,Central Michigan,151.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,46,25.5,0,0,0,0.0
112,Big West,DI,UC Santa Barbara,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,64,6.0,2,70,0,0.0
113,Big East,DI,Providence,150.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
114,Missouri Valley,DI,Creighton (Nebr.),150.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
114,CAA,FCS,James Madison (Va.),150.0,17,50,0,0,0,0,9,25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
116,America East,FCS,Stony Brook,149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,34,38.5,0,0.0,0,0,0,0.0
117,Atlantic 10,FBS,Temple,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
118,Northeast,FCS,Sacred Heart (Conn.),147.0,49,25,0,0,79,5,0,0,0,0,0,0,49,25.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
119,Big Sky,FCS,Sacramento State (Calif.),142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,33,25,54,17.5,0,0.0,0,0,0,0.0
120,Summit League,DI,Oral Roberts (Okla.),140.5,17,50,61,13,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,34,39.0,0,0,0,0.0
121,CAA,FCS,Delaware,140.0,0,0,0,0,0,0,0,0,9,25,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
122,CAA,DI,George Mason (Va.),136.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
123,America East,FCS,Albany,135.0,0,0,0,0,0,0,5,60,0,0,0,0,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
123,Missouri Valley,FCS,Illinois State,135.0,0,0,67,5,0,0,0,0,0,0,0,0,33,25.0,0,0,0,0,54,17.5,25,46.0,0,0,0,0.0
123,Big East,FBS,Pittsburgh,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
126,CAA,DI,Virginia Commonwealth,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
127,Patriot League,FCS,Bucknell (Pa.),131.5,0,0,0,0,0,0,0,0,9,25,0,0,0,0.0,0,0,0,0,0,0,54,18.5,0,0,0,0.0
128,WCC,DI,Pepperdine (Calif.),130.0,0,0,43,31,25,49,0,0,0,0,0,0,0,0.0,17,50,0,0,0,0,0,0.0,0,0,0,0.0
129,Missouri Valley,FCS,Southern Illinois,129.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,29,44,0,0.0,0,0,0,0.0
130,Patriot League,DI,American,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
131,WCC,DI,Gonzaga (Wash.),123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
131,CAA,FCS,Hofstra (N.Y.),123.0,0,0,0,0,0,0,0,0,9,25,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
133,Big Sky,FCS,Northern Arizona,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,46,25.5,0,0,0,0.0
134,Big Sky,FCS,Montana State,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,64,6.0,0,0,0,0.0
135,Pacific-10,FBS,Washington State,118.5,0,0,0,0,0,0,0,0,0,0,12,26,0,0.0,0,0,0,0,40,32.5,25,46.0,0,0,0,0.0
136,WAC,FBS,Hawaii,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
136,SoCon,FCS,Tennessee Chattanooga,116.0,0,0,34,40,51,21,0,0,0,0,0,0,17,50.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
138,Atlantic 10,FCS,Richmond (Va.),115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
138,Mountain West,FBS,Wyoming,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
140,Big East,DI,DePaul,114.0,0,0,0,0,0,0,0,0,0,0,0,0,17,50.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
141,Sun Belt,FBS,Florida International,108.0,49,25,61,13,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
142,Big West,FCS,UC Davis,106.5,0,0,20,54,43,27.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
