,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,,,,
,,,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
86,Memphis,Conference USA,FBS,229,0,0,0,0,49,22,0,0,0,0,0,0,0,0,17,50,9,64,0,0,28,43,0,0,0,0,0,50,179
87,UNLV,MWC,FBS,220.75,0,0,43,29,5,72.75,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,69,151.75
88,Central Michigan,MAC,FBS,214.33,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,70,119.33,25
89,Marquette,Big East,I,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,73,0
90,Boston University,America East,I,207.5,0,0,0,0,0,0,0,0,0,0,18,38,0,0,0,0,0,0,47,26.5,0,0,0,0,0,0,0,143,64.5
91,San Diego,West Coast,FCS,203,17,50,0,0,66,5,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,98,0,105
92,Pepperdine,West Coast,I,190,0,0,31,42,0,0,0,0,0,0,0,0,0,0,33,25,5,73,0,0,0,0,0,0,0,0,50,0,140
93,Akron,MAC,FBS,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,38,33.5,0,0,0,0,64,54,66
94,Brown,Ivy League,FCS,182.5,0,0,0,0,0,0,0,0,0,0,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63.5,69
95,Stony Brook,America East,FCS,181,0,0,0,0,0,0,9,53,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,78,0,103
96,Northern Arizona,Big Sky,FCS,180.25,0,0,64,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33.5,0,0,0,0,80,57.75,42.5
97,New Hampshire,America East,FCS,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,126,0
98,Wake Forest,ACC,FBS,172.5,0,0,41,32.5,56,15,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,100,0,72.5
98,Western Kentucky,Sun Belt,FBS,172.5,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,53,17.5,65,5,0,0,0,0,75,25,72.5
100,North Dakota State,The Summit League,FCS,172,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,67,5
101,Old Dominion,Colonial Athletic Association,FCS,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,13,0
102,Pennsylvania,Ivy League,FCS,164.5,0,0,0,0,0,0,17,25,0,0,0,0,33,25,0,0,0,0,0,0,58,13,0,0,0,0,0,101.5,63
103,Navy,Patriot League,FBS,161.5,0,0,0,0,0,0,9,53,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,49.5,87
104,Louisiana Lafayette,Sun Belt,FBS,159,17,50,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0,45,0,114
104,Rice,Conference USA,FBS,159,9,64,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,45,0,114
106,San Jose State,WAC,FBS,158,0,0,19,55,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,53,0,105
107,Hawaii,Big West,FBS,155,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,4,55,50,0,105
108,Fairleigh Dickinson,Northeast,I,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,64,40,50
109,Pittsburgh,Big East,FBS,152.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,0,0,0,25,122.58,5
110,UC Irvine,Big West,I,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,1,100,0,0,0,0,150
110,Virginia Commonwealth,Atlantic 10,I,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,50,50,50
112,Loyola  Maryland,Metro Atlantic Athletic,I,146.5,0,0,0,0,73,5,9,53,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38.5,83
113,Saint Mary's (CA),West Coast,I,145,0,0,0,0,29,45,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50,25,70
114,Army,Patriot League,FBS,144,49,25,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0,69,75
115,Providence College,Big East,I,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,23.5,0,0,0,0,0,0,119,0,23.5
116,Sam Houston State,Southland,FCS,140,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,25,25
117,Georgia Southern,SoCon,FCS,138,0,0,0,0,66,5,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,108,0,30
118,Indiana State,Missouri Valley,FCS,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,65,5,0,0,0,0,0,98.5,37.5
119,Miami  (Ohio),MAC,FBS,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50,60,25
120,Rutgers,Big East,FBS,134.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,0,0,0,0,75,38.5,21
121,Northern Iowa,Missouri Valley,FCS,134.25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,50,59.25,25
122,Montana State,Big Sky,FCS,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,63,0
122,South Dakota State,The Summit League,FCS,133,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,55,25
124,Temple,Atlantic 10,FBS,130.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.5,0
125,Marist College,Metro Atlantic Athletic,FCS,130,0,0,0,0,0,0,0,0,0,0,22,30,33,25,33,25,33,25,0,0,0,0,0,0,0,0,0,25,105
126,East Carolina,Conference USA,FBS,129.5,0,0,39,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,0,0,0,0,25,42,62.5
127,Gonzaga,West Coast,I,128.5,0,0,55,17.5,0,0,0,0,0,0,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,53.5
128,Central Arkansas,Southland,FCS,128,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,50
128,William and Mary,Colonial Athletic Association,FCS,128,17,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,53,0,75
130,Hofstra,Colonial Athletic Association,I,127,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,50,27,50
131,Oral Roberts,Southland,I,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,0,0,0,0,0,72,54
132,Jackson State,SWAC,FCS,125,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,0,0,0,0,25,47,53
132,Saint Louis,Atlantic 10,I,125,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,25
132,St. John's,Big East,I,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,100,0
135,Arkansas State,Sun Belt,FBS,123.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,23.5,0,0,0,0,0,0,45,55,23.5
136,Eastern Illinois,Ohio Valley,FCS,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0,25,65.5,32.5
137,Eastern Michigan,MAC,FBS,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0
137,Massachusetts,Atlantic 10,FBS,122,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,44,53
139,Weber State,Big Sky,FCS,118.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0,86,0,32.5
140,Bowling Green,MAC,FBS,117.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,17.5,0,0,0,0,0,0,75,0,42.5
141,Binghamton,America East,I,117,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,25,42,50
142,Houston,Conference USA,FBS,116.5,0,0,0,0,33,39,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,64
143,Quinnipiac,Northeast,I,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0
144,Portland,West Coast,I,114.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.5,0,0
145,Florida Gulf Coast,Atlantic Sun,I,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,64,0
145,South Alabama,Sun Belt,FCS,114,33,25,0,0,33,39,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
147,Liberty,Big South,FCS,112.75,17,50,0,0,63,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,57.75
148,UAB,Conference USA,FBS,111,0,0,0,0,49,22,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0,25,0,86
149,Texas at San Antonio,WAC,FBS,110.5,49,25,49,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32.5,49
150,Colorado State,MWC,FBS,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,5,0,0,0,0,54,50,5
151,Austin Peay State,Ohio Valley,FCS,108.5,17,50,0,0,38,33.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,108.5
152,Cal Poly,Big West,FCS,108,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,30,25
153,North Texas,Sun Belt,FBS,106,0,0,0,0,66,5,0,0,0,0,0,0,0,0,33,25,0,0,53,17.5,38,33.5,0,0,0,0,25,0,81
154,Lehigh,Patriot League,FCS,104,0,0,0,0,78,5,0,0,9,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,49,55
154,Towson,Colonial Athletic Association,FCS,104,33,25,0,0,0,0,17,25,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,75
156,Albany,America East,FCS,100,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25
156,Butler,Atlantic 10,FCS,100,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,5
156,Dayton,Atlantic 10,FCS,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
159,East Tennessee State,Atlantic Sun,I,99,49,25,49,24,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,25,0,74
160,Maryland Eastern Shore,MEAC,I,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,17.5,0,0,0,0,0,0,25,55,17.5
161,North Carolina Wilmington,Colonial Athletic Association,I,97,33,25,0,0,49,22,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,97
162,Iona,Metro Atlantic Athletic,I,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,45,25,25
163,Texas El Paso,Conference USA,FBS,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,17.5,24,49,0,0,0,0,0,26.5,66.5
