,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
168,Horizon League,FCS,Valparaiso,90.0,49,25,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
169,MAC,FBS,Akron,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
169,Atlantic 10,DI,St. Bonaventure (N.Y.),89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
169,Atlantic 10,DI,Xavier,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
172,Atlantic Sun,DI,North Florida,88.75,0,0,0,0,12,63.75,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
173,Patriot League,FCS,Colgate (N.Y.),85.0,0,0,0,0,0,0,0,0,5,60,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
173,Independent,FCS,North Dakota,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
173,Big Sky,FCS,Northern Arizona,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
176,Northeast,DI,Long Island - Brooklyn,80.0,0,0,70,5,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
177,Patriot League,DI,American,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
177,WAC,FBS,San Jose State (Calif.),79.5,0,0,49,24,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
179,Sun Belt,FBS,Western Kentucky,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43,28.5,0,0,0,0.0
180,CAA,FCS,Towson (Md.),78.0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
181,CAA,DI,North Carolina Wilmington,77.66,33,25,64,6.66,49,21,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
182,SoCon,DI,Charleston (S.C.),75.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0,0,0,0,0.0
182,Big East,DI,DePaul,75.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
182,MAAC,DI,Fairfield (Conn.),75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0,0,0,0,0.0
182,WAC,FBS,Fresno State,75.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
182,WCC,DI,Loyola Marymount (Calif.),75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,46.0
182,MAAC,FCS,Marist (N.Y.),75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
182,Atlantic 10,FCS,Massachusetts,75.0,0,0,0,0,0,0,9,25,9,25,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
182,WCC,DI,Santa Clara (Calif.),75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0.0,0,0.0,0,0,0,0.0
182,Ohio Valley,FCS,Tennessee Martin,75.0,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
182,Big West,FCS,UC Davis,75.0,0,0,34,39,67,5,0,0,0,0,0,0,0,0,0,0,0,0,40,31.0,0,0.0,0,0,0,0.0
182,Horizon League,DI,Wisconsin Green Bay,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
182,Horizon League,DI,Wisconsin-Milwaukee,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
194,Atlantic 10,FCS,Richmond (Va.),74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
195,SoCon,DI,North Carolina Greensboro,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,39.0,0,0,0,0.0
196,WAC,FBS,Nevada-Reno,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
197,Southland,DI,Texas San Antonio,67.5,0,0,58,14,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,43,28.5,0,0,0,0.0
198,Ohio Valley,FCS,Murray State (Ky.),67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17.0,0,0.0,0,0,0,0.0
199,Ohio Valley,FCS,Jacksonville State (Ala.),66.66,0,0,64,6.66,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
200,Sun Belt,FBS,Arkansas State,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
201,Horizon League,DI,Illinois Chicago,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
201,Missouri Valley,FCS,Missouri State,64.0,33,25,58,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
203,MAC,FBS,Miami (Ohio),62.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,60,12.0,0,0.0,0,0,0,0.0
204,Big Sky,FCS,Sacramento State (Calif.),59.0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0,0,0,0,0.0
205,Sun Belt,FBS,North Texas,58.5,0,0,0,0,38,33.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
206,Atlantic Sun,FCS,Campbell (N.C.),57.5,0,0,29,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
206,MEAC,FCS,Hampton (Va.),57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
206,WCC,DI,San Francisco,57.5,0,0,0,0,38,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
209,Southland,FCS,Lamar (Tex.),54.0,0,0,0,0,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
210,Southland,FCS,Central Arkansas,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
210,SoCon,FCS,Wofford (S.C.),53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
212,Summit League,DI,Indiana/Purdue Indianapolis,52.0,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,Ohio Valley,FCS,Austin Peay,50.0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,Atlantic Sun,DI,Belmont (Tenn.),50.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,MEAC,FCS,Bethune-Cookman (Fla.),50.0,49,25,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,Missouri Valley,DI,Bradley (Ill.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,Sun Belt,FBS,Florida International,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,Northeast,FCS,Monmouth (N.J.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,WAC,FBS,New Mexico State,50.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,SWAC,FCS,Prairie View A&M (Tex.),50.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,Big South,DI,Radford (Va.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
213,Sun Belt,FCS,South Alabama,50.0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,MEAC,FCS,South Carolina State,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0,0,0,0,0.0
213,Summit League,FCS,South Dakota State,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,Atlantic 10,DI,St. Louis,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
213,WAC,FBS,Utah State,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
227,Southland,FCS,McNeese State (La.),48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49,23.0,0,0,0,0.0
228,Conference USA,FBS,Marshall,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
229,Big Sky,FCS,Northern Colorado,43.5,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
230,SWAC,FCS,Jackson State (Miss.),41.5,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
231,Ohio Valley,FCS,Tennessee Tech,39.0,0,0,0,0,58,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
231,Conference USA,FBS,Tulane,39.0,0,0,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
233,Independent,FCS,South Dakota,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38.5,0,0.0,0,0,0,0.0
234,Atlantic Sun,DI,Kennesaw State,35.0,0,0,58,14,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
235,Independent,DI,Cal State Bakersfield,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
235,Atlantic 10,DI,George Washington,30.0,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
235,Horizon League,DI,Loyola Chicago,30.0,0,0,0,0,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
235,SWAC,FCS,Mississippi Valley State,30.0,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
235,CAA,FCS,William and Mary (Va.),30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66,5.0,0,0,0,0.0
240,Big Sky,FCS,Eastern Washington,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
241,MAC,FBS,Buffalo,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,SWAC,FCS,Alcorn State (Miss.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
242,Sun Belt,DI,Arkansas Little Rock,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,SWAC,FCS,Arkansas Pine Bluff,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,MAC,FBS,Ball State,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Big West,DI,Cal State Fullerton,25.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,MAAC,DI,Canisius (N.Y.),25.0,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,SoCon,FCS,Citadel,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,SoCon,FCS,Davidson (N.C.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Horizon League,DI,Detroit Mercy,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Missouri Valley,FCS,Drake (Iowa),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
242,Atlantic Sun,DI,East Tennessee State,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
242,SoCon,FCS,Elon (N.C.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,SoCon,FCS,Furman (S.C.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,CAA,DI,Georgia State,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Big Sky,FCS,Idaho State,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Atlantic 10,DI,La Salle (Pa.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Atlantic Sun,DI,Lipscomb (Tenn.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Sun Belt,FBS,Louisiana Monroe,25.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,MAAC,DI,Manhattan,25.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Summit League,DI,Missouri Kansas City,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
242,Ohio Valley,FCS,Morehead State (Ky.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,MAAC,DI,Niagara,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Big South,DI,North Carolina Asheville,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,CAA,FCS,Northeastern (Mass.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Summit League,DI,Oakland (Mich.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Big Sky,FCS,Portland State (Ore.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,SWAC,FCS,Southern (La.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Southland,FCS,Stephen F. Austin,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Summit League,FCS,Western Illinois,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
242,Big South,DI,Winthrop (S.C.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
272,Patriot League,FCS,Bucknell (Pa.),22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
273,Independent,DI,Utah Valley,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
274,Big South,FCS,Charleston Southern (S.C.),16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
274,Big Sky,FCS,Weber State (Utah),16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
276,MAAC,DI,Rider (N.J.),13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
277,SWAC,FCS,Alabama State,5.0,0,0,0,0,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
277,Horizon League,FCS,Butler (Ind.),5.0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
277,CAA,DI,Drexel (Pa.),5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
277,Northeast,DI,Mount St. Mary's (Md.),5.0,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
277,MAAC,DI,Siena (N.Y.),5.0,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
277,Southland,FCS,Southeastern Louisiana,5.0,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
